timestamp,plugin,total_downloads,version,api_level
2025-11-06T23:48:35+01:00,SpotifyHonorific,0,1.0.0.0,13
2025-11-08T08:27:41Z,SpotifyHonorific,3,1.1.0,13
2025-11-08T09:49:48Z,SpotifyHonorific,4,1.2.0,13
2025-11-08T12:07:24Z,SpotifyHonorific,6,1.2.0,13
2025-11-12T18:07:27Z,SpotifyHonorific,8,1.2.0,13
2025-11-13T00:21:00Z,SpotifyHonorific,9,1.2.0,13
2025-11-14T06:08:08Z,SpotifyHonorific,10,1.2.0,13
2025-11-19T06:07:53Z,SpotifyHonorific,11,1.2.0,13
2025-11-21T09:45:51+01:00,SpotifyHonorific,4,1.2.0,13
2025-11-21T09:45:51+01:00,DropLogger,0,0.0.0.0,13
2025-11-21T09:46:59+01:00,SpotifyHonorific,11,1.2.0,13
2025-11-21T08:49:10Z,DropLogger,0,1.0.0,13
2025-11-21T12:08:35Z,DropLogger,1,1.0.0,13
2025-11-27T06:08:12Z,DropLogger,2,1.0.0,13
2025-11-29T17:21:06+01:00,DiscordChatWebhook,0,1.0.0,13
2025-11-29T18:06:49Z,DiscordChatWebhook,2,1.0.0,13
2025-11-30T03:48:00Z,DiscordChatWebhook,0,1.0.0,13
2025-11-30T06:07:12Z,DiscordChatWebhook,2,1.0.0,13
2025-12-02T21:34:28Z,SpotifyHonorific,11,1.3.0,13
2025-12-03T00:21:08Z,SpotifyHonorific,13,1.3.0,13
2025-12-03T12:09:14Z,SpotifyHonorific,14,1.3.0,13
2025-12-07T03:36:01+01:00,JobAutoSwitcher,0,1.0.0,13
2025-12-07T02:37:11Z,SpotifyHonorific,14,1.3.1,13
2025-12-07T02:37:11Z,JobAutoSwitcher,1,1.0.0,13
2025-12-07T02:51:06Z,SpotifyHonorific,15,1.3.1,13
2025-12-07T06:06:58Z,SpotifyHonorific,18,1.3.1,13
2025-12-07T06:06:58Z,DiscordChatWebhook,1,1.0.0,13
2025-12-07T06:06:58Z,JobAutoSwitcher,2,1.0.1,13
2025-12-07T12:07:54Z,DropLogger,3,1.0.0,13
2025-12-07T18:06:42Z,SpotifyHonorific,19,1.3.1,13
2025-12-08T00:22:33Z,JobAutoSwitcher,3,1.0.1,13
2025-12-08T18:07:37Z,JobAutoSwitcher,4,1.0.1,13
2025-12-09T00:21:48Z,JobAutoSwitcher,5,1.0.1,13
2025-12-10T06:08:30Z,SpotifyHonorific,20,1.3.2,13
2025-12-10T06:08:30Z,DiscordChatWebhook,2,1.0.1,13
2025-12-10T06:08:30Z,JobAutoSwitcher,6,1.0.2,13
2025-12-10T12:09:19Z,SpotifyHonorific,21,1.3.2,13
2025-12-10T12:09:19Z,JobAutoSwitcher,7,1.0.2,13
2025-12-11T00:22:20Z,SpotifyHonorific,23,1.3.2,13
2025-12-11T00:22:20Z,DiscordChatWebhook,3,1.0.1,13
2025-12-11T00:22:20Z,JobAutoSwitcher,8,1.0.2,13
2025-12-11T12:09:17Z,SpotifyHonorific,24,1.3.2,13
2025-12-11T12:09:17Z,DiscordChatWebhook,4,1.0.1,13
2025-12-11T12:09:17Z,JobAutoSwitcher,11,1.0.2,13
2025-12-12T00:21:59Z,JobAutoSwitcher,12,1.0.2,13
2025-12-12T13:26:54+01:00,SpotifyHonorific,0,1.3.2,13
2025-12-12T12:27:54Z,SpotifyHonorific,24,1.3.2,13
